,id,rank,country_full,confederation,rank_date
48970,43961,67,Norway,UEFA,2015-01-08
48971,43910,75,Jamaica,CONCACAF,2015-01-08
48972,43908,73,Haiti,CONCACAF,2015-01-08
48973,43906,73,Guatemala,CONCACAF,2015-01-08
48974,43909,72,Honduras,CONCACAF,2015-01-08
48975,44005,71,Uzbekistan,AFC,2015-01-08
48976,43945,70,Finland,UEFA,2015-01-08
48977,43822,69,Korea Republic,AFC,2015-01-08
48978,43877,68,Rwanda,CAF,2015-01-08
48979,43936,66,Bulgaria,UEFA,2015-01-08
48980,43914,55,Panama,CONCACAF,2015-01-08
48981,43847,64,Burkina Faso,CAF,2015-01-08
48982,43887,62,Togo,CAF,2015-01-08
48983,43858,62,Gabon,CAF,2015-01-08
48984,43853,61,Congo,CAF,2015-01-08
48985,43855,60,Egypt,CAF,2015-01-08
48986,999,59,Montenegro,UEFA,2015-01-08
48987,43932,58,Albania,UEFA,2015-01-08
48988,20014,57,Congo DR,CAF,2015-01-08
48989,43920,55,Trinidad and Tobago,CONCACAF,2015-01-08
48990,43928,76,Paraguay,CONMEBOL,2015-01-08
48991,43953,65,Republic of Ireland,UEFA,2015-01-08
48992,43889,77,Uganda,CAF,2015-01-08
48993,43868,88,Malawi,CAF,2015-01-08
48994,43933,79,Armenia,UEFA,2015-01-08
48995,43835,102,Saudi Arabia,AFC,2015-01-08
48996,44000,101,North Macedonia,UEFA,2015-01-08
48997,43976,100,Australia,AFC,2015-01-08
48998,43937,99,Belarus,UEFA,2015-01-08
48999,43873,98,Mozambique,CAF,2015-01-08
49000,43812,96,China PR,AFC,2015-01-08
49001,43955,96,Latvia,UEFA,2015-01-08
49002,1882218,95,Antigua and Barbuda,CONCACAF,2015-01-08
49003,43820,93,Jordan,AFC,2015-01-08
49004,43831,93,Oman,AFC,2015-01-08
49005,43834,92,Qatar,AFC,2015-01-08
49006,43957,91,Lithuania,UEFA,2015-01-08
49007,43904,90,El Salvador,CONCACAF,2015-01-08
49008,43845,89,Benin,CAF,2015-01-08
49009,43819,54,Japan,AFC,2015-01-08
49010,43931,87,Venezuela,CONMEBOL,2015-01-08
49011,43939,86,Cyprus,UEFA,2015-01-08
49012,43881,85,Sierra Leone,CAF,2015-01-08
49013,43923,84,Bolivia,CONMEBOL,2015-01-08
49014,43943,83,Estonia,UEFA,2015-01-08
49015,43872,82,Morocco,CAF,2015-01-08
49016,43844,81,Angola,CAF,2015-01-08
49017,43840,80,United Arab Emirates,AFC,2015-01-08
49018,43866,78,Libya,CAF,2015-01-08
49019,43929,53,Peru,CONMEBOL,2015-01-08
49020,43850,40,Cabo Verde,CAF,2015-01-08
49021,43817,51,IR Iran,AFC,2015-01-08
49022,44002,21,Slovakia,UEFA,2015-01-08
49023,43911,20,Mexico,CONCACAF,2015-01-08
49024,43938,19,Croatia,UEFA,2015-01-08
49025,43843,18,Algeria,CAF,2015-01-08
49026,43995,17,Czech Republic,UEFA,2015-01-08
49027,43901,16,Costa Rica,CONCACAF,2015-01-08
49028,43964,15,Romania,UEFA,2015-01-08
49029,43925,14,Chile,CONMEBOL,2015-01-08
49030,43942,13,England,UEFA,2015-01-08
49031,43971,12,Switzerland,UEFA,2015-01-08
49032,43888,22,Tunisia,CAF,2015-01-08
49033,43954,11,Italy,UEFA,2015-01-08
49034,43969,9,Spain,UEFA,2015-01-08
49035,43946,7,France,UEFA,2015-01-08
49036,43963,7,Portugal,UEFA,2015-01-08
49037,43924,6,Brazil,CONMEBOL,2015-01-08
49038,43960,5,Netherlands,UEFA,2015-01-08
49039,43935,4,Belgium,UEFA,2015-01-08
49040,43926,3,Colombia,CONMEBOL,2015-01-08
49041,43922,2,Argentina,CONMEBOL,2015-01-08
49042,43948,1,Germany,UEFA,2015-01-08
49043,43944,103,Faroe Islands,UEFA,2015-01-08
49044,43930,10,Uruguay,CONMEBOL,2015-01-08
49045,43934,23,Austria,UEFA,2015-01-08
49046,43949,24,Greece,UEFA,2015-01-08
49047,43973,25,Ukraine,UEFA,2015-01-08
49048,43891,50,Zambia,CAF,2015-01-08
49049,43869,49,Mali,CAF,2015-01-08
49050,43972,48,Turkey,UEFA,2015-01-08
49051,43952,47,Northern Ireland,UEFA,2015-01-08
49052,43968,46,Slovenia,UEFA,2015-01-08
49053,43950,45,Hungary,UEFA,2015-01-08
49054,43970,44,Sweden,UEFA,2015-01-08
49055,43876,43,Nigeria,CAF,2015-01-08
49056,43849,42,Cameroon,CAF,2015-01-08
49057,43962,41,Poland,UEFA,2015-01-08
49058,43861,39,Guinea,CAF,2015-01-08
49059,1902465,38,Serbia,UEFA,2015-01-08
49060,43860,37,Ghana,CAF,2015-01-08
49061,43967,36,Scotland,UEFA,2015-01-08
49062,43879,35,Senegal,CAF,2015-01-08
49063,43974,34,Wales,UEFA,2015-01-08
49064,43951,33,Iceland,UEFA,2015-01-08
49065,43984,32,Israel,UEFA,2015-01-08
49066,43965,31,Russia,UEFA,2015-01-08
49067,43941,30,Denmark,UEFA,2015-01-08
49068,44037,29,Bosnia and Herzegovina,UEFA,2015-01-08
49069,43854,28,Côte d'Ivoire,CAF,2015-01-08
49070,43927,26,Ecuador,CONMEBOL,2015-01-08
49071,43883,52,South Africa,CAF,2015-01-08
49072,43921,27,USA,CONCACAF,2015-01-08
49073,43886,104,Tanzania,CAF,2015-01-08
49074,43846,106,Botswana,CAF,2015-01-08
49075,43813,182,Chinese Taipei,AFC,2015-01-08
49076,44009,179,Cambodia,AFC,2015-01-08
49077,43966,179,San Marino,UEFA,2015-01-08
49078,43898,179,Bermuda,CONCACAF,2015-01-08
49079,43880,178,Seychelles,CAF,2015-01-08
49080,20011,177,Turks and Caicos Islands,CONCACAF,2015-01-08
49081,43842,176,Yemen,AFC,2015-01-08
49082,44011,175,Belize,CONCACAF,2015-01-08
49083,43913,173,Nicaragua,CONCACAF,2015-01-08
49084,1896913,173,Comoros,CAF,2015-01-08
49085,43980,183,Solomon Islands,OFC,2015-01-08
49086,43837,172,Sri Lanka,AFC,2015-01-08
49087,43878,170,São Tomé and Príncipe,CAF,2015-01-08
49088,20009,169,Montserrat,CONCACAF,2015-01-08
49089,43859,168,Gambia,CAF,2015-01-08
49090,43907,167,Guyana,CONCACAF,2015-01-08
49091,43981,166,Tahiti,OFC,2015-01-08
49092,43809,165,Bangladesh,AFC,2015-01-08
49093,43885,164,Swaziland,CAF,2015-01-08
49094,43919,163,Suriname,CONCACAF,2015-01-08
49095,43915,161,Puerto Rico,CONCACAF,2015-01-08
49096,20007,161,Guam,AFC,2015-01-08
49097,43815,171,India,AFC,2015-01-08
49098,43997,184,Dominica,CONCACAF,2015-01-08
49099,1890334,185,Timor-Leste,AFC,2015-01-08
49100,43830,186,Nepal,AFC,2015-01-08
49101,43903,105,Dominican Republic,CONCACAF,2015-01-08
49102,20002,208,Anguilla,CONCACAF,2015-01-08
49103,44007,206,Cook Islands,OFC,2015-01-08
49104,43996,206,Djibouti,CAF,2015-01-08
49105,43900,205,Cayman Islands,CONCACAF,2015-01-08
49106,43882,204,Somalia,CAF,2015-01-08
49107,20006,202,Eritrea,CAF,2015-01-08
49108,20004,202,British Virgin Islands,CONCACAF,2015-01-08
49109,20001,201,Andorra,UEFA,2015-01-08
49110,20012,200,American Samoa,OFC,2015-01-08
49111,43979,199,Papua New Guinea,OFC,2015-01-08
49112,43810,198,Brunei Darussalam,AFC,2015-01-08
49113,1881967,197,US Virgin Islands,CONCACAF,2015-01-08
49114,44039,196,Tonga,OFC,2015-01-08
49115,43895,195,Bahamas,CONCACAF,2015-01-08
49116,20008,194,Mongolia,AFC,2015-01-08
49117,1882637,192,Samoa,OFC,2015-01-08
49118,43977,192,Fiji,OFC,2015-01-08
49119,43982,191,Vanuatu,OFC,2015-01-08
49120,43871,190,Mauritius,CAF,2015-01-08
49121,1935341,189,South Sudan,CAF,2015-01-08
49122,43832,188,Pakistan,AFC,2015-01-08
49123,43826,186,Macau,AFC,2015-01-08
49124,43824,160,Laos,AFC,2015-01-08
49125,43816,159,Indonesia,AFC,2015-01-08
49126,20003,209,Bhutan,AFC,2015-01-08
49127,43836,157,Singapore,AFC,2015-01-08
49128,43894,129,Aruba,CONCACAF,2015-01-08
49129,43848,128,Burundi,CAF,2015-01-08
49130,43958,127,Luxembourg,UEFA,2015-01-08
49131,43947,126,Georgia,UEFA,2015-01-08
49132,43823,125,Kuwait,AFC,2015-01-08
49133,43864,124,Lesotho,CAF,2015-01-08
49134,44036,123,Moldova,UEFA,2015-01-08
49135,43825,122,Lebanon,AFC,2015-01-08
49136,43918,121,St. Vincent / Grenadines,CONCACAF,2015-01-08
49137,43916,120,St. Kitts and Nevis,CONCACAF,2015-01-08
49138,43875,119,Niger,CAF,2015-01-08
49139,43856,118,Equatorial Guinea,CAF,2015-01-08
49140,43863,117,Kenya,CAF,2015-01-08
49141,43865,115,Liberia,CAF,2015-01-08
49142,43989,115,Palestine,AFC,2015-01-08
49143,43818,114,Iraq,AFC,2015-01-08
49144,43902,113,Cuba,CONCACAF,2015-01-08
49145,43899,112,Canada,CONCACAF,2015-01-08
49146,43874,111,Namibia,CAF,2015-01-08
49147,43808,110,Bahrain,AFC,2015-01-08
49148,43857,109,Ethiopia,CAF,2015-01-08
49149,43884,108,Sudan,CAF,2015-01-08
49150,1930407,158,Curaçao,CONCACAF,2015-01-08
49151,43833,129,Philippines,AFC,2015-01-08
49152,43828,131,Maldives,AFC,2015-01-08
49153,43892,107,Zimbabwe,CAF,2015-01-08
49154,43841,133,Vietnam,AFC,2015-01-08
49155,43956,132,Liechtenstein,UEFA,2015-01-08
49156,43814,156,Hong Kong,AFC,2015-01-08
49157,43905,155,Grenada,CONCACAF,2015-01-08
49158,43827,154,Malaysia,AFC,2015-01-08
49159,20010,153,New Caledonia,OFC,2015-01-08
49160,43999,152,Kyrgyz Republic,AFC,2015-01-08
49161,43838,151,Syria,AFC,2015-01-08
49162,43867,147,Madagascar,CAF,2015-01-08
49163,44004,147,Turkmenistan,AFC,2015-01-08
49164,43959,147,Malta,UEFA,2015-01-08
49165,43852,146,Chad,CAF,2015-01-08
49166,43821,150,Korea DPR,AFC,2015-01-08
49167,43839,144,Thailand,AFC,2015-01-08
49168,43862,133,Guinea-Bissau,CAF,2015-01-08
49169,43851,145,Central African Republic,CAF,2015-01-08
49170,43994,136,Azerbaijan,UEFA,2015-01-08
49171,44003,136,Tajikistan,AFC,2015-01-08
49172,43870,138,Mauritania,CAF,2015-01-08
49173,43978,135,New Zealand,OFC,2015-01-08
49174,43917,140,St. Lucia,CONCACAF,2015-01-08
49175,43829,141,Myanmar,AFC,2015-01-08
49176,20000,142,Afghanistan,AFC,2015-01-08
49177,43896,143,Barbados,CONCACAF,2015-01-08
49178,44027,139,Kazakhstan,UEFA,2015-01-08
49179,43953,67,Republic of Ireland,UEFA,2015-02-12
49180,43887,75,Togo,CAF,2015-02-12
49181,43933,74,Armenia,UEFA,2015-02-12
49182,43945,73,Finland,UEFA,2015-02-12
49183,43877,72,Rwanda,CAF,2015-02-12
49184,44005,71,Uzbekistan,AFC,2015-02-12
49185,43936,70,Bulgaria,UEFA,2015-02-12
49186,43961,69,Norway,UEFA,2015-02-12
49187,43847,68,Burkina Faso,CAF,2015-02-12
49188,43840,66,United Arab Emirates,AFC,2015-02-12
49189,43822,54,Korea Republic,AFC,2015-02-12
49190,43932,63,Albania,UEFA,2015-02-12
49191,43976,63,Australia,AFC,2015-02-12
49192,43920,62,Trinidad and Tobago,CONCACAF,2015-02-12
49193,43914,61,Panama,CONCACAF,2015-02-12
49194,43891,60,Zambia,CAF,2015-02-12
49195,43929,59,Peru,CONMEBOL,2015-02-12
49196,43858,58,Gabon,CAF,2015-02-12
49197,43855,57,Egypt,CAF,2015-02-12
